participant_id,session,attempt,genuine,timestamp,force_0,force_1,force_2,hold_0,hold_1,hold_2,gap_0,gap_1,baseline_noise,mean_distance,S_M,S_A,S_U,decision
P04,2,2,True,1737083160,169,632,265,253,462,289,598,405,30,143,40,0,78,REJECT
P04,2,3,True,1737083340,150,585,241,301,327,335,663,100,9,152,27,0,94,REJECT
P04,2,4,True,1737083520,175,537,285,374,362,324,538,146,19,154,26,0,98,REJECT
P04,2,5,True,1737083700,169,549,288,304,548,358,498,278,21,147,36,0,85,REJECT
P04,3,1,True,1737428580,201,543,268,266,372,317,633,405,18,168,35,0,77,REJECT
P04,3,2,True,1737428760,165,563,299,79,463,394,659,199,20,158,33,0,94,REJECT
P04,3,3,True,1737428940,143,585,249,180,371,422,560,259,23,146,80,0,83,REJECT
P04,3,4,True,1737429120,148,543,250,302,372,322,497,312,20,148,47,0,86,REJECT
P04,3,5,True,1737429300,173,568,260,280,520,361,551,293,14,135,56,0,67,REJECT
P04,4,1,True,1738033380,164,605,259,276,267,589,448,100,25,147,5,0,85,REJECT
P04,4,2,True,1738033560,170,571,289,140,390,323,598,451,23,156,40,0,98,REJECT
P04,4,3,True,1738033740,165,588,239,349,578,373,458,218,26,149,27,0,88,REJECT
P04,4,4,True,1738033920,191,549,275,181,388,299,533,290,27,149,62,0,88,REJECT
P04,4,5,True,1738034100,168,602,262,114,479,344,510,373,30,152,45,0,94,REJECT
P05,1,1,True,1736910180,107,657,348,50,536,246,501,206,12,316,39,0,100,REJECT
P05,1,2,True,1736910360,97,598,345,50,447,275,361,310,19,309,54,0,86,REJECT
P05,1,3,True,1736910540,105,618,327,208,583,312,383,461,20,317,34,0,98,REJECT
P05,1,4,True,1736910720,91,688,322,166,423,221,516,363,17,320,50,0,92,REJECT
P05,1,5,True,1736910900,94,606,347,148,399,184,513,417,15,318,52,0,96,REJECT
P05,2,1,True,1737082980,75,623,338,201,491,275,454,468,18,312,60,0,92,REJECT
P05,2,2,True,1737083160,106,617,355,310,521,205,653,296,27,309,38,0,86,REJECT
P05,2,3,True,1737083340,68,636,345,222,438,295,646,296,22,322,53,0,88,REJECT
P05,2,4,True,1737083520,90,612,319,128,476,256,643,173,22,322,23,0,88,REJECT
P05,2,5,True,1737083700,116,635,348,242,523,257,458,389,19,313,64,0,94,REJECT
P05,3,1,True,1737428580,138,635,311,58,499,383,443,358,22,315,40,0,98,REJECT
P05,3,2,True,1737428760,76,603,375,103,479,199,842,341,18,314,41,0,96,REJECT
P05,3,3,True,1737428940,86,654,377,244,331,239,487,157,23,318,36,0,96,REJECT
P05,3,4,True,1737429120,58,603,339,191,472,345,393,371,26,312,56,0,92,REJECT
P05,3,5,True,1737429300,37,604,357,50,553,391,550,342,21,317,30,0,98,REJECT
P05,4,1,True,1738033380,99,588,347,136,617,413,394,355,12,321,22,0,90,REJECT
P05,4,2,True,1738033560,75,651,331,141,452,304,512,393,21,318,73,0,96,REJECT
P05,4,3,True,1738033740,128,649,336,183,599,261,576,400,11,312,40,0,92,REJECT
P05,4,4,True,1738033920,84,609,399,190,583,208,352,224,21,320,14,0,92,REJECT
P05,4,5,True,1738034100,117,662,359,136,422,288,552,462,23,319,52,0,94,REJECT
P06,1,1,True,1736910180,144,607,297,140,556,164,469,173,18,274,20,0,96,REJECT
P06,1,2,True,1736910360,119,587,292,124,475,194,508,285,12,274,49,0,96,REJECT
P06,1,3,True,1736910540,52,623,318,146,334,337,561,394,8,277,31,0,98,REJECT
P06,1,4,True,1736910720,105,607,305,94,528,318,780,135,16,276,24,0,100,REJECT
P06,1,5,True,1736910900,120,649,354,93,446,249,800,231,10,279,43,0,94,REJECT
P06,2,1,True,1737082980,95,618,286,82,573,315,551,510,12,283,31,0,86,REJECT
P06,2,2,True,1737083160,101,671,326,208,495,181,517,180,16,283,43,0,86,REJECT
P06,2,3,True,1737083340,78,634,271,151,495,280,520,246,21,279,56,0,94,REJECT
P06,2,4,True,1737083520,99,624,311,65,445,193,511,292,13,281,60,0,90,REJECT
P06,2,5,True,1737083700,111,646,320,64,542,346,741,291,20,273,32,0,94,REJECT
P06,3,1,True,1737428580,64,615,337,217,301,270,719,197,22,280,32,0,92,REJECT
P06,3,2,True,1737428760,85,635,325,261,345,387,586,193,24,273,21,0,94,REJECT
P06,3,3,True,1737428940,104,623,307,141,521,262,847,318,16,278,49,0,96,REJECT
P06,3,4,True,1737429120,125,570,357,212,314,239,668,228,10,269,27,0,86,REJECT
P06,3,5,True,1737429300,88,615,338,70,612,279,475,347,16,279,37,0,94,REJECT
P06,4,1,True,1738033380,93,594,295,171,418,398,615,229,12,271,40,0,90,REJECT
P06,4,2,True,1738033560,123,671,320,270,519,142,722,460,14,280,8,0,92,REJECT
P06,4,3,True,1738033740,125,588,299,209,593,210,473,314,21,273,32,0,94,REJECT
P06,4,4,True,1738033920,46,655,347,267,333,240,396,351,21,278,27,0,96,REJECT
P06,4,5,True,1738034100,45,633,269,108,543,296,503,279,17,278,29,0,96,REJECT
P07,1,1,True,1736910180,205,531,407,198,542,345,660,425,21,204,33,0,83,REJECT
P07,1,2,True,1736910360,140,527,388,236,521,306,506,189,33,215,56,0,96,REJECT
P07,1,3,True,1736910540,182,550,417,207,486,373,449,181,21,212,48,0,98,REJECT
P07,1,4,True,1736910720,163,547,403,211,502,297,592,257,22,207,73,0,88,REJECT
P07,1,5,True,1736910900,217,513,388,135,500,291,524,432,21,206,40,0,86,REJECT
P07,2,1,True,1737082980,181,561,390,87,582,386,416,100,29,214,32,0,98,REJECT
P07,2,2,True,1737083160,163,537,401,179,452,334,528,372,27,198,73,0,74,REJECT
P07,2,3,True,1737083340,182,556,361,271,457,166,599,187,23,216,19,0,94,REJECT
P07,2,4,True,1737083520,158,557,356,143,401,275,665,165,23,210,23,0,94,REJECT
P07,2,5,True,1737083700,163,533,386,76,535,284,536,290,14,212,64,0,98,REJECT
P07,3,1,True,1737428580,153,559,374,90,526,255,316,100,27,211,16,0,96,REJECT
P07,3,2,True,1737428760,165,556,419,244,507,320,574,232,23,210,59,0,94,REJECT
P07,3,3,True,1737428940,186,534,410,247,450,407,654,238,14,213,44,0,100,REJECT
P07,3,4,True,1737429120,177,504,372,277,468,250,482,475,24,210,21,0,94,REJECT
P07,3,5,True,1737429300,206,521,387,76,546,423,490,325,27,208,41,0,90,REJECT
P07,4,1,True,1738033380,153,536,376,124,429,413,431,262,25,207,50,0,88,REJECT
P07,4,2,True,1738033560,191,524,413,184,515,341,374,380,27,218,37,0,90,REJECT
P07,4,3,True,1738033740,177,520,387,50,492,294,509,298,23,207,61,0,88,REJECT
P07,4,4,True,1738033920,159,559,372,229,345,310,348,281,21,206,32,0,86,REJECT
P07,4,5,True,1738034100,178,540,363,186,501,427,632,323,17,208,50,0,90,REJECT
P08,1,1,True,1736910180,141,538,384,176,514,219,522,197,25,291,34,0,85,REJECT
P08,1,2,True,1736910360,120,549,449,217,379,313,544,162,28,292,64,0,86,REJECT
P08,1,3,True,1736910540,104,523,385,181,479,214,599,379,28,295,35,0,92,REJECT
P08,1,4,True,1736910720,93,529,459,257,363,354,622,307,25,299,49,0,100,REJECT
P08,1,5,True,1736910900,106,535,433,151,361,355,690,226,21,300,46,0,98,REJECT
P08,2,1,True,1737082980,107,517,428,175,441,87,468,415,30,301,16,0,96,REJECT
P08,2,2,True,1737083160,129,567,430,88,280,279,505,165,29,303,39,0,92,REJECT
P08,2,3,True,1737083340,117,531,414,436,336,204,609,117,22,297,18,0,96,REJECT
P08,2,4,True,1737083520,123,528,450,259,379,402,519,429,18,299,35,0,100,REJECT
P08,2,5,True,1737083700,127,512,426,323,271,203,462,335,24,297,25,0,96,REJECT
P08,3,1,True,1737428580,115,539,400,360,450,203,381,261,19,299,33,0,100,REJECT
P08,3,2,True,1737428760,99,552,423,330,430,141,341,204,30,291,20,0,85,REJECT
P08,3,3,True,1737428940,100,512,441,210,439,352,604,175,22,300,45,0,98,REJECT
P08,3,4,True,1737429120,125,597,422,326,309,390,665,158,34,300,16,0,98,REJECT
P08,3,5,True,1737429300,77,530,431,326,367,312,385,249,27,296,57,0,94,REJECT
P08,4,1,True,1738033380,96,542,385,174,345,232,453,384,21,294,33,0,90,REJECT
P08,4,2,True,1738033560,106,535,456,428,276,353,490,269,30,308,23,0,83,REJECT
P08,4,3,True,1738033740,109,565,380,238,481,215,420,337,28,294,24,0,90,REJECT
P08,4,4,True,1738033920,148,531,383,125,510,320,486,420,29,295,24,0,92,REJECT
P08,4,5,True,1738034100,133,567,435,238,347,244,438,183,25,298,45,0,98,REJECT
P01,99,0,False,1736911500,148,532,452,293,586,237,893,148,16,226,4,0,77,REJECT
P01,99,0,False,1736915460,173,516,310,372,468,549,476,407,18,235,4,0,64,REJECT
P01,99,0,False,1736914980,122,511,355,266,474,328,537,261,25,205,49,0,85,REJECT
P01,99,0,False,1736915340,136,537,397,50,464,378,431,138,18,191,34,0,64,REJECT
P01,99,0,False,1736914140,232,556,365,50,585,331,486,431,23,203,30,0,81,REJECT
P01,99,0,False,1736913180,96,625,303,320,457,293,437,439,17,208,34,0,98,REJECT
P01,99,0,False,1736911680,138,606,383,250,454,123,652,226,19,205,25,0,96,REJECT
P01,99,0,False,1736913420,110,566,337,201,183,129,376,100,23,198,1,0,83,REJECT
P01,99,0,False,1736914500,122,661,372,344,584,341,896,391,26,193,3,0,75,REJECT
P01,99,0,False,1736912100,74,597,180,336,273,244,475,100,22,212,2,0,90,REJECT
P01,99,0,False,1736916180,40,535,369,159,563,427,378,183,35,289,2,0,81,REJECT
P01,99,0,False,1736916660,64,534,422,362,209,161,293,141,24,336,6,0,47,REJECT
P01,99,0,False,1736910000,154,505,384,142,121,223,603,490,28,286,20,0,77,REJECT
P01,99,0,False,1736915820,94,539,396,258,375,170,645,100,38,303,17,0,92,REJECT
P01,99,0,False,1736916180,146,542,385,170,415,265,702,438,27,288,23,0,80,REJECT
P02,99,0,False,1736911200,119,594,307,59,509,120,431,100,23,226,1,0,77,REJECT
P02,99,0,False,1736915340,174,575,290,179,698,259,442,205,29,175,16,0,46,REJECT
P02,99,0,False,1736913240,143,593,346,50,764,320,922,252,21,220,16,0,86,REJECT
P02,99,0,False,1736912580,138,578,401,300,528,415,333,138,26,212,20,0,98,REJECT
P02,99,0,False,1736912100,143,626,396,64,554,227,601,100,32,187,13,0,59,REJECT
P02,99,0,False,1736911140,131,559,202,394,537,570,590,305,30,112,4,0,42,REJECT
P02,99,0,False,1736911620,199,548,302,50,506,393,535,320,27,130,26,0,60,REJECT
P02,99,0,False,1736915820,131,574,235,298,327,366,757,208,22,157,36,0,96,REJECT
P02,99,0,False,1736912580,198,567,270,50,316,386,512,316,27,150,48,0,90,REJECT
P02,99,0,False,1736910780,109,531,250,129,191,394,341,109,10,144,29,0,80,REJECT
P02,99,0,False,1736910660,194,500,399,304,504,334,558,171,19,223,25,0,71,REJECT
P02,99,0,False,1736912880,101,438,297,126,532,50,617,235,24,233,3,0,86,REJECT
P02,99,0,False,1736910720,112,558,405,174,346,316,784,512,34,265,8,0,60,REJECT
P02,99,0,False,1736912700,148,416,329,466,511,484,774,327,21,269,0,0,55,REJECT
P02,99,0,False,1736916480,175,476,364,50,491,77,395,716,28,243,0,0,94,REJECT
P03,99,0,False,1736912640,186,621,260,130,568,161,580,243,23,183,17,0,61,REJECT
P03,99,0,False,1736914620,88,648,291,506,655,121,370,297,11,210,3,0,94,REJECT
P03,99,0,False,1736911980,57,644,231,196,413,375,724,601,21,200,7,0,86,REJECT
P03,99,0,False,1736916180,127,614,226,258,270,78,753,177,18,241,1,0,50,REJECT
P03,99,0,False,1736910300,139,651,225,306,696,216,859,309,31,232,7,0,60,REJECT
P03,99,0,False,1736915580,139,542,460,220,477,446,454,112,28,253,13,0,39,REJECT
P03,99,0,False,1736913480,175,571,411,313,220,173,355,211,27,320,10,0,65,REJECT
P03,99,0,False,1736914080,155,555,368,262,227,237,638,451,28,320,15,0,65,REJECT
P03,99,0,False,1736910900,170,562,454,50,337,84,569,252,36,277,25,0,64,REJECT
P03,99,0,False,1736917080,130,632,474,148,418,103,414,293,33,275,5,0,61,REJECT
P03,99,0,False,1736912880,109,535,293,307,257,559,361,261,24,262,0,0,60,REJECT
P03,99,0,False,1736910600,137,623,244,226,309,248,592,499,20,207,50,0,54,REJECT
P03,99,0,False,1736914200,120,656,265,263,541,353,634,336,14,234,40,0,94,REJECT
P03,99,0,False,1736912220,115,669,277,157,489,609,667,137,24,235,8,0,96,REJECT
P03,99,0,False,1736916360,196,560,268,50,363,383,630,250,25,241,20,0,92,REJECT
P04,99,0,False,1736914800,154,440,432,402,422,237,689,193,23,212,4,0,98,REJECT
P04,99,0,False,1736914740,195,497,454,249,581,347,686,406,25,245,7,0,52,REJECT
P04,99,0,False,1736916780,218,477,355,239,100,50,590,159,17,204,5,0,83,REJECT
P04,99,0,False,1736916600,189,509,451,163,860,586,278,410,22,191,0,0,64,REJECT
P04,99,0,False,1736912760,186,564,358,294,570,262,470,508,24,222,17,0,83,REJECT
P04,99,0,False,1736914380,87,648,428,50,50,230,698,357,37,313,23,0,75,REJECT
P04,99,0,False,1736911440,137,508,393,203,516,158,545,221,26,316,33,0,71,REJECT
P04,99,0,False,1736915400,161,545,419,181,50,148,476,100,31,287,12,0,78,REJECT
P04,99,0,False,1736910480,35,579,374,50,413,179,587,100,30,280,5,0,68,REJECT
P04,99,0,False,1736910300,158,611,475,103,346,103,623,243,18,322,7,0,63,REJECT
P04,99,0,False,1736915040,144,572,311,229,445,247,847,129,16,279,31,0,94,REJECT
P04,99,0,False,1736911740,81,595,291,307,226,86,687,226,18,289,1,0,77,REJECT
P04,99,0,False,1736915880,135,677,365,263,413,594,537,257,21,262,18,0,75,REJECT
P04,99,0,False,1736912220,121,540,368,202,245,335,590,305,17,273,33,0,94,REJECT
P04,99,0,False,1736910600,83,609,263,224,480,217,698,244,13,266,32,0,81,REJECT
P05,99,0,False,1736916540,101,601,235,234,505,304,100,282,31,253,41,0,72,REJECT
P05,99,0,False,1736911740,160,636,231,356,339,112,928,354,7,240,17,0,94,REJECT
P05,99,0,False,1736916600,184,600,241,307,535,277,351,361,19,207,31,0,54,REJECT
P05,99,0,False,1736910720,169,575,155,143,275,290,650,448,15,239,8,0,96,REJECT
P05,99,0,False,1736912880,90,571,264,147,504,254,682,240,14,219,20,0,69,REJECT
P05,99,0,False,1736912100,164,596,337,114,278,50,851,444,30,265,0,0,80,REJECT
P05,99,0,False,1736913480,124,569,356,123,473,50,880,505,13,269,0,0,86,REJECT
P05,99,0,False,1736914860,124,538,304,128,642,77,715,100,18,277,3,0,98,REJECT
P05,99,0,False,1736916360,139,625,427,259,485,50,439,466,20,266,2,0,81,REJECT
P05,99,0,False,1736912760,146,668,327,234,543,223,399,201,16,285,33,0,83,REJECT
P05,99,0,False,1736911200,222,585,258,141,381,152,529,470,27,137,6,0,69,REJECT
P05,99,0,False,1736912820,121,569,214,299,406,319,769,266,32,140,40,0,74,REJECT
P05,99,0,False,1736912700,236,603,343,254,375,299,534,298,20,165,28,0,81,REJECT
P05,99,0,False,1736911560,128,556,244,422,319,510,717,713,13,156,4,0,98,REJECT
P05,99,0,False,1736915100,138,554,184,286,307,399,649,446,13,124,9,33,53,REJECT
P06,99,0,False,1736912040,167,603,196,204,635,120,696,463,21,233,4,0,92,REJECT
P06,99,0,False,1736915340,42,619,233,54,444,175,761,100,15,230,4,0,86,REJECT
P06,99,0,False,1736917140,50,694,201,284,249,232,494,128,7,234,10,33,94,REJECT
P06,99,0,False,1736915220,82,614,285,365,461,340,709,547,7,220,11,0,71,REJECT
P06,99,0,False,1736914920,142,579,286,257,167,468,600,749,15,270,26,0,51,REJECT
P06,99,0,False,1736910540,86,546,385,226,224,440,436,188,20,309,10,0,81,REJECT
P06,99,0,False,1736914620,122,611,497,201,325,149,515,371,27,306,30,0,86,REJECT
P06,99,0,False,1736914860,88,548,394,105,239,105,426,414,24,297,2,0,96,REJECT
P06,99,0,False,1736911260,82,591,405,446,565,312,599,184,27,277,29,0,64,REJECT
P06,99,0,False,1736914080,137,528,423,160,244,187,623,480,29,284,22,0,74,REJECT
P06,99,0,False,1736915580,106,472,323,442,488,292,395,100,22,229,5,0,72,REJECT
P06,99,0,False,1736911860,206,591,303,313,668,171,555,460,22,233,2,0,67,REJECT
P06,99,0,False,1736911200,202,460,328,157,464,600,513,507,20,233,21,0,67,REJECT
P06,99,0,False,1736913540,158,527,430,374,347,374,380,262,34,225,17,0,78,REJECT
P06,99,0,False,1736912880,157,531,372,50,699,288,382,275,9,232,24,33,68,REJECT
P07,99,0,False,1736912040,105,591,216,175,740,357,417,273,20,220,6,0,77,REJECT
P07,99,0,False,1736917080,118,603,294,317,520,214,340,395,20,222,36,0,74,REJECT
P07,99,0,False,1736914860,70,610,277,159,372,418,556,300,27,208,20,0,98,REJECT
P07,99,0,False,1736915280,91,538,285,343,614,452,423,263,20,208,3,0,98,REJECT
P07,99,0,False,1736914260,157,635,297,202,241,298,789,397,26,214,27,0,86,REJECT
P07,99,0,False,1736911680,106,497,357,325,513,284,553,438,28,275,18,0,61,REJECT
P07,99,0,False,1736915220,147,578,447,153,397,323,234,318,28,303,39,0,92,REJECT
P07,99,0,False,1736912460,161,487,386,130,471,359,511,360,30,296,19,0,94,REJECT
P07,99,0,False,1736916420,79,536,395,122,360,323,654,415,33,318,29,0,68,REJECT
P07,99,0,False,1736915880,143,573,422,50,127,315,499,170,27,297,31,0,96,REJECT
P07,99,0,False,1736915940,86,674,412,50,491,76,384,140,15,326,3,0,81,REJECT
P07,99,0,False,1736910420,47,661,322,230,600,510,450,159,19,296,8,0,67,REJECT
P07,99,0,False,1736911740,57,589,330,316,482,212,402,724,22,343,16,0,58,REJECT
P07,99,0,False,1736916300,46,643,341,219,464,255,417,218,19,331,39,0,74,REJECT
P07,99,0,False,1736910240,87,558,399,50,532,311,477,495,14,328,24,0,78,REJECT
P08,99,0,False,1736916180,88,556,352,180,645,321,619,485,23,342,35,0,59,REJECT
P08,99,0,False,1736912400,96,672,419,89,355,262,298,418,16,306,7,0,81,REJECT
P08,99,0,False,1736913060,112,648,304,173,549,424,666,316,24,307,17,0,83,REJECT
P08,99,0,False,1736912040,68,597,300,224,407,173,530,459,23,319,22,0,94,REJECT
P08,99,0,False,1736910480,90,676,287,348,482,319,236,249,22,294,9,0,64,REJECT
P08,99,0,False,1736911620,61,526,219,488,519,578,700,449,9,251,0,0,75,REJECT
P08,99,0,False,1736916960,85,607,267,329,303,440,462,146,17,239,7,0,96,REJECT
P08,99,0,False,1736917200,143,636,261,76,199,447,805,221,23,212,5,0,60,REJECT
P08,99,0,False,1736914320,144,622,256,237,50,382,910,323,26,248,19,0,80,REJECT
P08,99,0,False,1736916720,84,613,253,50,590,359,577,583,25,219,25,0,69,REJECT
P08,99,0,False,1736915460,137,550,369,96,342,297,807,357,22,177,26,0,48,REJECT
P08,99,0,False,1736912400,203,611,319,223,419,376,228,443,24,222,5,0,83,REJECT
P08,99,0,False,1736911620,208,589,338,314,531,306,521,270,24,185,25,0,57,REJECT
P08,99,0,False,1736914980,157,539,336,50,703,400,157,380,12,231,8,0,69,REJECT
P08,99,0,False,1736913780,214,502,414,128,659,258,511,406,27,225,25,0,78,REJECT
