participant_id,session,attempt,genuine,timestamp,force_0,force_1,force_2,hold_0,hold_1,hold_2,gap_0,gap_1,voice_0,voice_1,voice_2,gap_dist_0,gap_dist_1,baseline_noise,mean_distance,S_M,S_V,S_G,S_U,decision
P02,2,5,True,1737083700,122,679,296,180,530,251,592,460,8,0,0,46,59,34,212,74,100,61,86,ACCEPT
P02,3,1,True,1737428580,116,592,279,144,512,355,564,308,8,0,0,73,70,41,215,88,100,78,92,ACCEPT
P02,3,2,True,1737428760,104,585,260,153,449,189,561,443,8,0,3,68,75,34,216,75,66,79,95,ACCEPT
P02,3,3,True,1737428940,97,607,286,161,311,218,614,153,8,0,0,35,53,33,215,63,100,44,92,REJECT
P02,3,4,True,1737429120,147,593,252,156,484,287,478,249,8,2,0,69,0,40,216,81,66,46,95,ACCEPT
P02,3,5,True,1737429300,135,600,286,306,383,305,464,533,8,0,0,69,78,32,226,62,100,73,81,ACCEPT
P02,4,1,True,1738033380,140,637,289,255,336,425,589,438,8,0,0,43,73,32,210,63,100,58,81,ACCEPT
P02,4,2,True,1738033560,122,635,301,201,430,319,476,241,8,0,0,79,55,26,219,80,100,60,97,ACCEPT
P02,4,3,True,1738033740,126,635,274,155,497,279,401,144,8,0,0,56,70,40,212,60,100,77,86,ACCEPT
P02,4,4,True,1738033920,122,592,285,303,524,356,570,225,8,0,0,66,76,34,220,82,100,81,95,ACCEPT
P02,4,5,True,1738034100,95,631,279,181,331,173,468,344,8,0,0,78,78,34,220,63,100,60,95,ACCEPT
P03,1,1,True,1736910180,185,521,390,104,358,291,634,183,6,0,6,33,69,33,190,67,100,78,81,ACCEPT
P03,1,2,True,1736910360,119,496,340,214,440,222,550,244,6,0,6,43,91,25,194,89,100,56,90,ACCEPT
P03,1,3,True,1736910540,174,532,359,217,409,221,536,439,6,0,6,32,58,33,202,78,100,81,90,ACCEPT
P03,1,4,True,1736910720,156,513,340,198,553,158,520,193,6,0,6,35,70,32,197,75,100,80,97,ACCEPT
P03,1,5,True,1736910900,140,504,328,157,423,283,594,342,3,0,3,33,43,30,187,88,33,64,75,REJECT
P03,2,1,True,1737082980,151,513,366,205,479,282,558,230,6,0,6,22,62,31,196,95,100,76,95,ACCEPT
P03,2,2,True,1737083160,146,507,374,278,430,338,596,311,6,0,6,52,59,29,187,90,100,72,75,ACCEPT
P03,2,3,True,1737083340,130,571,363,234,456,200,442,339,6,0,6,35,74,33,191,73,100,75,83,ACCEPT
P03,2,4,True,1737083520,144,467,372,197,443,347,553,207,5,0,6,69,65,28,197,81,66,58,97,ACCEPT
P03,2,5,True,1737083700,184,528,382,326,357,246,393,109,6,0,6,51,47,40,203,52,100,57,88,ACCEPT
P03,3,1,True,1737428580,116,529,309,224,504,272,558,288,6,0,6,40,72,36,205,87,100,79,83,ACCEPT
P03,3,2,True,1737428760,167,471,319,166,442,251,419,259,6,0,6,40,60,39,192,71,100,92,86,ACCEPT
P03,3,3,True,1737428940,160,534,341,214,382,330,561,251,4,0,6,61,53,44,190,91,66,54,81,ACCEPT
P03,3,4,True,1737429120,170,526,397,236,532,312,519,288,6,0,6,25,63,32,201,85,100,77,92,ACCEPT
P03,3,5,True,1737429300,188,508,317,215,462,367,625,192,6,0,6,31,69,32,203,77,100,75,88,ACCEPT
P03,4,1,True,1738033380,124,536,368,216,342,286,605,256,6,0,6,47,66,41,199,84,100,77,97,ACCEPT
P03,4,2,True,1738033560,141,478,340,148,453,180,548,391,4,0,6,32,61,30,197,74,66,87,97,ACCEPT
P03,4,3,True,1738033740,141,519,312,253,446,313,593,316,6,1,6,20,60,34,193,91,66,70,88,ACCEPT
P03,4,4,True,1738033920,165,477,380,208,518,263,558,188,6,0,6,44,76,33,197,82,100,67,97,ACCEPT
P03,4,5,True,1738034100,162,560,338,186,438,229,606,280,6,0,6,40,57,35,199,90,100,87,97,ACCEPT
P04,1,1,True,1736910180,137,558,261,158,337,466,611,249,5,4,7,58,68,33,249,84,100,68,74,ACCEPT
P04,1,2,True,1736910360,143,532,283,193,422,283,692,365,5,4,7,65,70,37,270,69,100,63,79,ACCEPT
P04,1,3,True,1736910540,141,575,262,86,190,435,608,359,5,4,7,55,88,36,265,61,100,69,90,ACCEPT
P04,1,4,True,1736910720,170,540,272,138,383,215,535,126,5,4,7,65,87,28,257,62,100,58,90,ACCEPT
P04,1,5,True,1736910900,153,551,266,114,353,413,474,297,5,4,7,46,87,38,248,83,100,79,72,ACCEPT
P04,2,1,True,1737082980,176,587,307,290,339,393,491,300,5,4,7,24,70,31,265,81,100,56,90,ACCEPT
P04,2,2,True,1737083160,185,516,270,50,453,450,578,159,5,4,7,77,107,30,268,61,100,30,83,REJECT
P04,2,3,True,1737083340,145,614,247,321,264,385,597,262,5,4,7,68,78,26,256,73,100,70,88,ACCEPT
P04,2,4,True,1737083520,174,527,253,168,232,273,668,291,5,4,7,40,90,30,263,62,100,66,95,ACCEPT
P04,2,5,True,1737083700,161,552,310,153,397,333,592,271,5,4,7,56,85,27,254,87,100,72,83,ACCEPT
P04,3,1,True,1737428580,157,537,259,236,330,346,621,237,5,4,7,81,76,26,261,87,100,61,100,ACCEPT
P04,3,2,True,1737428760,197,565,287,52,407,266,523,352,5,4,7,35,80,17,256,67,100,74,88,ACCEPT
P04,3,3,True,1737428940,168,614,246,173,574,406,611,178,5,4,7,20,78,25,259,72,100,64,95,ACCEPT
P04,3,4,True,1737429120,177,566,265,137,316,404,666,261,5,4,7,33,70,32,269,83,100,65,81,ACCEPT
P04,3,5,True,1737429300,166,560,234,258,376,503,564,257,5,4,7,49,58,34,275,83,100,71,70,ACCEPT
P04,4,1,True,1738033380,149,545,259,153,300,421,429,348,6,4,7,72,58,24,263,71,66,42,95,REJECT
P04,4,2,True,1738033560,180,585,266,230,401,423,612,209,5,4,7,29,49,38,262,91,100,39,97,REJECT
P04,4,3,True,1738033740,168,572,237,270,538,367,778,269,5,4,7,57,68,24,253,60,100,69,81,ACCEPT
P04,4,4,True,1738033920,158,569,256,330,325,515,552,433,5,4,7,75,72,28,252,58,100,57,79,ACCEPT
P04,4,5,True,1738034100,143,573,261,309,422,431,660,210,5,4,7,20,66,34,259,79,100,48,95,ACCEPT
P05,1,1,True,1736910180,80,535,347,170,406,329,363,553,6,3,4,29,27,20,281,58,100,44,90,REJECT
P05,1,2,True,1736910360,74,625,342,146,562,288,540,398,6,3,4,20,54,30,276,89,100,52,97,ACCEPT
P05,1,3,True,1736910540,103,598,366,85,605,200,428,412,4,3,4,30,39,24,276,72,66,58,97,ACCEPT
P05,1,4,True,1736910720,75,639,331,126,309,380,557,263,6,3,4,40,54,26,280,66,100,71,92,ACCEPT
P05,1,5,True,1736910900,91,597,319,121,673,294,470,526,2,3,4,60,44,22,275,67,66,77,95,ACCEPT
P05,2,1,True,1737082980,98,640,338,355,542,411,505,371,6,3,4,35,61,16,280,63,100,56,92,ACCEPT
P05,2,2,True,1737083160,81,631,372,183,532,242,484,349,6,3,4,60,78,23,277,94,100,47,100,ACCEPT
P05,2,3,True,1737083340,101,619,378,155,480,362,384,228,6,3,4,52,20,28,276,74,100,63,97,ACCEPT
P05,2,4,True,1737083520,90,613,340,66,503,74,559,244,6,3,4,55,56,18,275,59,100,75,95,ACCEPT
P05,2,5,True,1737083700,77,615,399,151,287,193,403,275,6,3,4,66,48,23,277,60,100,74,100,ACCEPT
P05,3,1,True,1737428580,83,628,334,156,499,335,499,244,6,3,4,70,20,13,285,88,100,39,81,REJECT
P05,3,2,True,1737428760,67,646,384,124,527,415,467,410,6,3,4,20,43,17,273,77,100,57,90,ACCEPT
P05,3,3,True,1737428940,104,608,315,172,550,308,545,402,6,3,4,24,33,25,284,85,100,46,83,ACCEPT
P05,3,4,True,1737429120,95,584,352,50,368,342,493,308,8,3,8,50,55,20,275,75,33,86,95,REJECT
P05,3,5,True,1737429300,94,622,360,223,491,163,541,423,6,3,4,35,75,18,277,79,100,43,100,REJECT
P05,4,1,True,1738033380,104,639,356,173,557,284,414,397,6,3,4,51,36,16,281,88,100,80,90,ACCEPT
P05,4,2,True,1738033560,91,650,364,247,328,331,500,356,6,3,4,39,61,17,272,75,100,60,88,ACCEPT
P05,4,3,True,1738033740,114,716,313,143,322,243,547,444,6,3,4,31,26,25,269,62,100,44,81,REJECT
P05,4,4,True,1738033920,116,656,386,119,305,349,553,341,6,3,4,56,33,17,276,68,100,67,97,ACCEPT
P05,4,5,True,1738034100,82,609,377,50,310,244,668,254,6,3,4,20,75,28,275,54,100,31,95,REJECT
P06,1,1,True,1736910180,117,651,338,184,360,277,452,414,3,5,3,58,36,18,343,72,100,47,90,ACCEPT
P06,1,2,True,1736910360,115,649,313,169,587,394,555,396,4,5,3,68,57,21,336,70,66,85,92,ACCEPT
P06,1,3,True,1736910540,113,619,358,175,463,288,419,225,3,5,3,101,50,16,340,79,100,57,97,ACCEPT
P06,1,4,True,1736910720,84,672,301,117,466,184,625,100,3,5,3,88,0,18,339,66,100,35,100,REJECT
P06,1,5,True,1736910900,109,630,316,50,409,311,614,232,3,5,3,63,64,22,338,83,100,67,97,ACCEPT
P06,2,1,True,1737082980,75,634,310,50,465,284,476,268,3,5,3,77,33,20,336,83,100,66,92,ACCEPT
P06,2,2,True,1737083160,97,663,327,179,333,210,710,198,3,5,3,50,66,23,341,66,100,51,95,ACCEPT
P06,2,3,True,1737083340,113,680,310,185,537,260,493,249,3,5,3,73,38,26,326,83,100,70,72,ACCEPT
P06,2,4,True,1737083520,85,610,322,301,588,180,897,290,3,5,3,66,47,22,336,50,100,69,92,ACCEPT
P06,2,5,True,1737083700,99,607,283,84,394,145,523,455,3,5,3,69,54,23,342,60,100,85,92,ACCEPT
P06,3,1,True,1737428580,108,636,336,83,442,328,740,381,3,5,3,100,47,17,343,68,100,53,90,ACCEPT
P06,3,2,True,1737428760,102,631,323,53,448,339,612,490,3,5,3,48,74,20,341,63,100,41,95,REJECT
P06,3,3,True,1737428940,115,616,319,383,592,341,509,294,3,5,3,80,59,18,342,58,100,85,92,ACCEPT
P06,3,4,True,1737429120,109,642,346,104,503,236,558,496,3,0,3,53,51,24,337,71,66,61,95,ACCEPT
P06,3,5,True,1737429300,118,652,336,207,627,50,543,100,3,5,3,62,58,23,338,48,100,75,97,REJECT
P06,4,1,True,1738033380,121,628,298,61,203,259,577,230,3,5,3,99,54,14,336,62,100,65,92,ACCEPT
P06,4,2,True,1738033560,128,662,313,215,228,435,593,383,3,0,3,76,56,13,334,51,66,98,88,ACCEPT
P06,4,3,True,1738033740,134,647,315,275,471,187,598,292,3,3,3,88,51,26,337,82,66,70,95,ACCEPT
P06,4,4,True,1738033920,120,592,324,75,446,308,580,145,3,5,3,78,55,17,337,76,100,92,95,ACCEPT
P06,4,5,True,1738034100,117,645,309,93,351,182,449,132,3,5,3,85,52,24,341,62,100,76,95,ACCEPT
P07,1,1,True,1736910180,157,539,362,114,494,465,535,303,8,4,6,62,50,22,151,84,66,68,95,ACCEPT
P07,1,2,True,1736910360,182,510,386,50,493,310,667,281,8,7,6,79,67,23,145,77,100,74,81,ACCEPT
P07,1,3,True,1736910540,167,517,348,80,559,363,690,169,8,7,6,98,74,17,157,63,100,46,90,ACCEPT
P07,1,4,True,1736910720,162,517,389,54,426,306,546,450,8,7,6,89,64,19,158,69,100,68,88,ACCEPT
P07,1,5,True,1736910900,207,569,373,158,504,398,542,268,8,7,6,84,30,29,136,89,100,41,65,REJECT
P07,2,1,True,1737082980,165,581,386,127,480,372,613,299,8,7,6,50,37,25,137,87,100,41,67,REJECT
P07,2,2,True,1737083160,148,524,345,146,472,467,320,207,8,7,6,91,55,24,158,58,100,58,88,ACCEPT
P07,2,3,True,1737083340,164,530,398,98,383,496,508,173,8,7,6,55,67,23,166,66,100,69,72,ACCEPT
P07,2,4,True,1737083520,155,547,367,111,376,525,589,100,8,7,6,43,72,16,139,52,100,51,70,ACCEPT
P07,2,5,True,1737083700,171,519,361,275,571,402,587,100,8,7,6,65,88,24,154,63,100,60,97,ACCEPT
P07,3,1,True,1737428580,174,525,403,210,528,258,588,308,8,7,6,74,61,26,154,86,100,88,97,ACCEPT
P07,3,2,True,1737428760,201,518,367,174,573,410,427,224,8,7,6,95,66,20,162,77,100,60,79,ACCEPT
P07,3,3,True,1737428940,149,572,383,122,596,388,421,100,8,7,6,63,66,26,159,65,100,81,86,ACCEPT
P07,3,4,True,1737429120,166,563,351,115,653,349,649,153,8,7,3,61,38,16,154,62,66,55,97,ACCEPT
P07,3,5,True,1737429300,181,584,360,126,442,374,562,115,8,7,6,70,96,21,142,74,100,60,75,ACCEPT
P07,4,1,True,1738033380,153,548,415,235,244,242,384,100,8,7,6,51,77,28,162,44,100,51,79,REJECT
P07,4,2,True,1738033560,185,558,372,181,394,297,487,200,8,7,6,79,51,29,149,84,100,65,90,ACCEPT
P07,4,3,True,1738033740,173,535,375,186,568,433,405,306,6,7,6,81,38,21,152,77,66,50,97,ACCEPT
P07,4,4,True,1738033920,173,552,358,84,477,278,448,231,8,7,6,74,81,20,152,82,100,64,97,ACCEPT
P07,4,5,True,1738034100,161,521,347,239,622,362,462,100,0,7,6,77,70,19,166,64,66,72,72,ACCEPT
P08,1,1,True,1736910180,130,540,457,165,348,301,502,247,5,2,6,30,70,20,189,89,100,88,77,ACCEPT
P08,1,2,True,1736910360,168,540,397,75,477,305,467,350,5,2,6,53,75,21,174,66,100,61,88,ACCEPT
P08,1,3,True,1736910540,100,561,399,295,249,288,557,325,5,8,6,40,64,20,179,80,66,81,100,ACCEPT
P08,1,4,True,1736910720,122,567,386,252,390,240,450,328,5,2,6,26,68,20,178,83,100,86,97,ACCEPT
P08,1,5,True,1736910900,133,571,419,299,374,341,527,228,5,2,6,51,59,14,176,88,100,60,92,ACCEPT
P08,2,1,True,1737082980,96,557,421,227,488,249,619,275,5,2,6,40,67,15,191,84,100,87,74,ACCEPT
P08,2,2,True,1737083160,159,514,399,236,304,202,549,161,5,2,6,54,73,12,191,72,100,63,74,ACCEPT
P08,2,3,True,1737083340,119,540,400,149,287,263,663,100,5,0,6,36,58,27,177,64,66,79,95,ACCEPT
P08,2,4,True,1737083520,116,543,421,228,469,271,504,150,5,2,6,24,68,26,176,83,100,83,92,ACCEPT
P08,2,5,True,1737083700,122,546,415,352,329,212,383,319,5,2,6,42,52,13,181,69,100,62,95,ACCEPT
P08,3,1,True,1737428580,83,545,435,156,408,339,460,265,7,2,6,31,39,19,170,85,66,60,79,ACCEPT
P08,3,2,True,1737428760,87,567,414,355,404,318,570,342,5,2,6,44,67,22,181,80,100,81,95,ACCEPT
P08,3,3,True,1737428940,105,499,426,325,391,264,494,100,5,2,0,20,80,30,175,68,66,59,90,ACCEPT
P08,3,4,True,1737429120,107,547,387,153,360,369,542,200,5,7,6,29,65,10,171,83,66,85,81,ACCEPT
P08,3,5,True,1737429300,119,575,427,257,260,323,584,256,5,2,6,32,55,22,183,84,100,75,90,ACCEPT
P08,4,1,True,1738033380,133,503,431,75,349,290,550,225,5,2,6,22,45,19,180,76,100,50,97,ACCEPT
P08,4,2,True,1738033560,120,553,411,273,288,316,496,224,5,2,6,30,80,12,180,87,100,73,97,ACCEPT
P08,4,3,True,1738033740,96,517,409,217,454,322,603,209,5,2,6,31,67,17,174,85,100,92,88,ACCEPT
P08,4,4,True,1738033920,127,554,443,201,521,457,710,163,5,2,6,33,48,17,183,46,100,70,90,REJECT
P08,4,5,True,1738034100,148,554,385,131,406,399,724,273,5,2,6,48,65,11,164,65,100,72,68,ACCEPT
P01,99,0,False,1736911500,120,511,386,50,709,246,633,287,8,7,6,56,77,23,163,49,100,57,77,REJECT
P01,99,0,False,1736915460,140,603,434,50,413,75,790,397,8,7,6,55,57,17,145,21,100,69,81,REJECT
P01,99,0,False,1736914980,149,574,355,50,369,215,698,380,8,7,6,52,87,30,135,46,100,43,63,REJECT
P01,99,0,False,1736915340,130,523,393,50,309,398,430,371,8,4,6,20,78,19,126,57,66,33,50,REJECT
P01,99,0,False,1736914140,218,583,332,147,273,327,660,100,8,7,6,43,106,13,119,45,100,26,42,REJECT
P01,99,0,False,1736913180,149,677,276,275,317,236,562,300,8,3,6,87,20,26,258,70,33,28,36,REJECT
P01,99,0,False,1736911680,106,565,279,212,578,243,660,389,0,1,1,31,102,32,207,78,0,24,75,REJECT
P01,99,0,False,1736913420,154,636,318,515,538,537,572,382,8,0,0,49,30,35,206,36,100,38,74,REJECT
P01,99,0,False,1736914500,171,528,275,371,531,287,333,342,8,0,7,36,74,27,181,53,66,51,39,REJECT
P01,99,0,False,1736912100,110,618,266,116,599,540,320,383,8,8,7,55,37,43,231,33,33,49,72,REJECT
P01,99,0,False,1736916180,97,596,405,199,519,52,631,303,5,2,6,20,99,22,170,50,100,43,79,REJECT
P01,99,0,False,1736916660,107,617,431,192,573,268,454,262,4,3,6,39,68,24,156,66,33,90,56,REJECT
P01,99,0,False,1736910000,188,580,464,92,722,182,755,410,5,0,6,31,60,12,216,25,66,80,39,REJECT
P01,99,0,False,1736915820,143,543,393,402,381,50,630,277,5,2,6,37,87,18,184,52,100,67,88,ACCEPT
P01,99,0,False,1736916180,164,480,419,185,501,97,523,263,7,0,6,78,72,19,180,52,33,51,97,REJECT
P02,99,0,False,1736911200,208,551,429,209,405,527,655,450,8,7,7,79,80,20,172,43,66,57,62,REJECT
P02,99,0,False,1736915340,200,484,398,50,464,400,409,337,8,5,1,87,109,18,133,67,33,31,60,REJECT
P02,99,0,False,1736913240,170,499,357,50,510,311,573,396,4,7,5,88,159,29,164,71,33,24,75,REJECT
P02,99,0,False,1736912580,124,503,433,236,313,363,640,254,8,7,6,57,0,23,129,56,100,35,54,REJECT
P02,99,0,False,1736912100,233,533,344,50,402,471,660,319,8,7,2,62,95,30,147,54,66,51,86,ACCEPT
P02,99,0,False,1736911140,152,553,173,196,305,167,547,178,5,5,0,20,50,28,243,57,33,33,63,REJECT
P02,99,0,False,1736911620,212,524,301,351,253,415,710,260,5,4,7,63,68,26,238,52,100,62,56,ACCEPT
P02,99,0,False,1736915820,193,574,315,273,535,359,369,192,5,6,7,59,100,22,237,53,66,52,54,ACCEPT
P02,99,0,False,1736912580,106,541,313,202,582,393,829,168,5,4,7,20,103,34,244,39,100,33,65,REJECT
P02,99,0,False,1736910780,124,614,300,198,459,534,442,232,3,4,0,30,72,34,239,60,33,65,57,REJECT
P02,99,0,False,1736910660,230,482,348,371,518,60,637,538,6,0,3,24,29,26,199,25,66,41,97,REJECT
P02,99,0,False,1736912880,172,532,360,272,217,376,531,100,6,0,6,57,84,29,219,58,100,44,59,REJECT
P02,99,0,False,1736910720,112,614,338,287,579,205,781,472,6,3,8,26,48,27,223,41,33,59,53,REJECT
P02,99,0,False,1736912700,166,531,259,287,369,244,408,376,5,0,6,20,59,27,229,51,66,68,46,REJECT
P02,99,0,False,1736916480,136,479,348,408,638,309,430,394,1,0,6,20,59,35,202,50,66,68,90,ACCEPT
P03,99,0,False,1736912640,97,614,259,52,706,50,609,312,8,0,0,35,103,29,197,32,100,26,59,REJECT
P03,99,0,False,1736914620,52,658,303,299,647,244,535,300,8,0,0,40,20,25,211,60,100,26,83,REJECT
P03,99,0,False,1736911980,144,629,357,331,339,578,516,309,8,0,1,22,51,40,214,42,66,36,90,REJECT
P03,99,0,False,1736916180,158,618,248,220,627,213,883,100,8,0,7,49,58,32,248,35,66,62,47,REJECT
P03,99,0,False,1736910300,75,696,190,59,637,218,695,233,8,2,0,27,20,40,235,30,66,18,65,REJECT
P03,99,0,False,1736915580,186,533,463,347,244,289,440,448,5,2,6,37,99,17,187,47,100,58,81,REJECT
P03,99,0,False,1736913480,122,610,379,50,338,176,393,393,5,1,8,52,59,6,173,44,33,59,86,REJECT
P03,99,0,False,1736914080,122,550,418,179,410,343,670,262,5,2,6,20,70,21,179,84,100,74,100,ACCEPT
P03,99,0,False,1736910900,63,629,459,133,285,337,822,380,5,2,6,20,72,25,169,40,100,71,77,REJECT
P03,99,0,False,1736917080,75,548,530,119,296,741,330,727,5,2,6,55,75,15,167,6,100,59,74,REJECT
P03,99,0,False,1736912880,149,537,271,167,534,164,517,430,0,6,3,101,43,18,287,52,33,59,83,REJECT
P03,99,0,False,1736910600,144,629,222,153,560,516,477,344,1,7,3,55,52,8,264,53,33,77,67,REJECT
P03,99,0,False,1736914200,136,665,244,343,192,355,690,310,8,2,3,50,30,19,256,56,33,64,54,REJECT
P03,99,0,False,1736912220,171,629,218,50,261,318,417,371,7,6,3,28,61,14,276,58,66,38,90,REJECT
P03,99,0,False,1736916360,186,568,244,212,459,309,565,163,1,4,3,116,77,8,287,70,66,17,83,REJECT
P04,99,0,False,1736914800,167,477,403,223,346,462,280,454,8,7,6,20,136,14,155,35,100,9,95,REJECT
P04,99,0,False,1736914740,165,521,413,172,450,297,544,583,8,1,6,20,49,39,145,65,66,36,81,REJECT
P04,99,0,False,1736916780,146,535,350,50,441,291,444,420,8,7,6,42,71,29,157,64,100,51,90,ACCEPT
P04,99,0,False,1736916600,151,559,433,333,554,390,646,347,8,7,6,84,72,19,151,62,100,60,95,ACCEPT
P04,99,0,False,1736912760,138,667,392,275,730,573,100,428,0,7,6,20,28,26,151,9,66,19,95,REJECT
P04,99,0,False,1736914380,131,538,461,61,316,592,741,347,5,6,6,27,103,17,194,35,66,50,68,REJECT
P04,99,0,False,1736911440,67,591,464,465,206,471,605,243,5,2,4,34,62,18,197,30,66,89,63,REJECT
P04,99,0,False,1736915400,95,493,436,578,333,406,255,243,5,0,6,27,85,16,169,45,66,63,77,REJECT
P04,99,0,False,1736910480,159,521,400,283,401,412,843,284,5,2,6,20,100,14,200,55,100,42,59,REJECT
P04,99,0,False,1736910300,38,535,390,161,466,279,468,100,1,3,6,20,91,11,166,57,33,48,72,REJECT
P04,99,0,False,1736915040,144,658,361,114,518,50,552,641,3,5,8,27,34,21,342,37,66,28,92,REJECT
P04,99,0,False,1736911740,107,728,282,443,449,400,579,100,5,7,3,75,39,15,345,28,33,75,86,REJECT
P04,99,0,False,1736915880,130,646,317,50,666,212,581,126,3,5,2,90,28,31,305,59,66,43,42,REJECT
P04,99,0,False,1736912220,164,687,282,188,482,50,679,191,3,5,3,66,69,26,337,45,100,64,95,REJECT
P04,99,0,False,1736910600,71,631,249,388,169,221,801,153,3,5,3,30,20,17,353,23,100,20,70,REJECT
P05,99,0,False,1736916540,81,572,262,322,505,320,465,348,7,4,3,58,82,19,285,67,100,58,88,ACCEPT
P05,99,0,False,1736911740,180,613,192,300,666,269,628,375,7,2,6,33,21,18,251,52,33,38,48,REJECT
P05,99,0,False,1736916600,173,676,194,86,259,204,632,422,7,4,3,44,76,9,299,46,100,40,62,REJECT
P05,99,0,False,1736910720,170,689,219,50,476,176,482,455,7,2,7,163,35,18,268,40,33,37,74,REJECT
P05,99,0,False,1736912880,202,636,245,77,454,381,382,100,7,5,1,93,34,22,294,43,33,47,70,REJECT
P05,99,0,False,1736912100,36,561,373,50,321,166,541,200,4,7,5,94,112,29,337,45,0,28,95,REJECT
P05,99,0,False,1736913480,134,648,317,50,338,296,540,482,1,5,3,93,30,17,366,62,66,42,50,REJECT
P05,99,0,False,1736914860,96,562,379,313,361,192,499,416,3,5,3,69,65,16,357,48,100,74,63,REJECT
P05,99,0,False,1736916360,141,639,283,50,413,287,315,172,3,5,8,0,30,17,338,56,66,20,97,REJECT
P05,99,0,False,1736912760,106,592,279,80,429,148,772,101,7,5,6,36,46,24,354,41,33,44,68,REJECT
P05,99,0,False,1736911200,131,590,261,277,375,452,657,227,3,4,8,68,100,32,249,80,33,42,74,REJECT
P05,99,0,False,1736912820,178,525,201,248,421,50,368,340,5,2,6,103,67,23,278,35,33,39,65,REJECT
P05,99,0,False,1736912700,156,602,203,305,487,332,784,253,5,4,3,23,102,24,231,54,66,36,47,REJECT
P05,99,0,False,1736911560,141,577,290,50,244,510,787,353,5,4,4,74,126,33,267,41,66,24,86,REJECT
P05,99,0,False,1736915100,133,516,293,80,223,519,435,271,2,4,7,75,111,23,249,42,66,29,74,REJECT
P06,99,0,False,1736912040,106,553,219,314,633,322,333,394,7,4,3,71,90,9,259,44,100,38,59,REJECT
